Record_ID,Tortoise_ID,Tortoise_No,Sample_Date,ELISA_Date,Mag_A405,Mag_Titer,Mag_Result,Mtest_A405,Mtest_Titer,Mtest_Result,Comments,Mag_UseResult,Mtest_UseResult,DataProofed
1333,BS58,58,5/16/2013,5/30/2013,-0.0005,<32,Negative,0.015,<32,Negative,,1,1,1
1334,BS61,61,5/18/2013,5/30/2013,0.0005,<32,Negative,0.0065,<32,Negative,,1,1,1
1335,BS62,62,5/17/2013,5/28/2013,0.0215,<32,Negative,0.028,<32,Negative,,1,1,1
1337,BS65,65,5/18/2013,5/30/2013,-0.0035,<32,Negative,0.0135,<32,Negative,,1,1,1
1338,BS66,66,5/18/2013,5/28/2013,0.0285,<32,Negative,0.0575,32,Suspect,,1,1,1
1340,BS68,68,5/19/2013,5/30/2013,0.018,<32,Negative,0.0455,<32,Negative,,1,1,1
1341,BS69,69,5/19/2013,5/30/2013,-0.015,<32,Negative,0.0125,<32,Negative,,1,1,1
1342,BS71,71,5/17/2013,5/28/2013,0.0285,<32,Negative,0.029,<32,Negative,,1,1,1
1344,BS74,74,5/15/2013,5/30/2013,-0.0015,<32,Negative,0.023,<32,Negative,,1,1,1
1345,BS75,75,5/18/2013,5/30/2013,0.015,<32,Negative,0.0595,<32,Negative,,1,1,1
1346,BS76,76,5/17/2013,5/30/2013,0.011,<32,Negative,0.0235,<32,Negative,,1,1,1
1347,BS77,77,5/17/2013,5/30/2013,0.0035,<32,Negative,0.031,<32,Negative,,1,1,1
1348,BS78,78,5/19/2013,5/30/2013,0.007,<32,Negative,0.057,<32,Negative,,1,1,1
1349,BS79,79,5/17/2013,5/30/2013,-0.0055,<32,Negative,0.0235,<32,Negative,,1,1,1
1350,BS80,80,5/19/2013,5/30/2013,-0.009,<32,Negative,-0.005,<32,Negative,,1,1,1
1351,BS86,86,5/18/2013,5/28/2013,0.007,<32,Negative,0.0065,<32,Negative,,1,1,1
1353,BS88,88,5/19/2013,5/30/2013,0.0075,<32,Negative,0.0355,<32,Negative,,1,1,1
1354,BS89,89,5/17/2013,5/30/2013,-0.0085,<32,Negative,0.008,<32,Negative,,1,1,1
1355,BS90,90,5/19/2013,5/30/2013,0.035,<32,Negative,0.031,<32,Negative,,1,1,1
1356,BS92,92,5/17/2013,5/30/2013,0.0195,<32,Negative,0.0695,<32,Negative,,1,1,1
1357,BS93,93,5/18/2013,5/30/2013,0.0105,<32,Negative,0,<32,Negative,,1,1,1
1358,BS94,94,5/16/2013,5/30/2013,0.006,<32,Negative,0.09,32,Suspect,,1,1,1
1359,BS95,95,5/17/2013,5/30/2013,-0.0085,<32,Negative,0.0065,<32,Negative,,1,1,1
1360,BS96,96,5/15/2013,5/30/2013,-0.0155,<32,Negative,0.024,<32,Negative,,1,1,1
1361,BS97,97,5/17/2013,5/30/2013,-0.01,<32,Negative,0.0125,<32,Negative,,1,1,1
1362,BS101,101,5/17/2013,5/30/2013,-0.0255,<32,Negative,0.0165,<32,Negative,,1,1,1
1363,BS103,103,5/17/2013,5/30/2013,0.0005,<32,Negative,0.142,32,Suspect,,1,1,1
1364,BS105,105,5/19/2013,5/30/2013,0.0115,<32,Negative,0.037,<32,Negative,,1,1,1
1365,BS107,107,5/18/2013,5/30/2013,0.0015,<32,Negative,0.04,<32,Negative,,1,1,1
1366,BS108,108,5/17/2013,5/30/2013,-0.0345,<32,Negative,-0.023,<32,Negative,,1,1,1
1367,BS109,109,5/18/2013,5/30/2013,-0.001,<32,Negative,0.0115,<32,Negative,,1,1,1
1368,BS110,110,5/17/2013,5/30/2013,0.0025,<32,Negative,0.018,<32,Negative,,1,1,1
1369,BS111,111,5/15/2013,5/28/2013,0.052,<32,Negative,0.0205,<32,Negative,,1,1,1
1371,BS113,113,5/16/2013,5/28/2013,0.016,<32,Negative,0.0135,<32,Negative,,1,1,1
1373,BS116,116,5/17/2013,5/30/2013,0.0005,<32,Negative,0.0155,<32,Negative,,1,1,1
