Record_ID,Tortoise_ID,Tortoise_No,Sample_Date,ELISA_Date,Mag_A405,Mag_Titer,Mag_Result,Mtest_A405,Mtest_Titer,Mtest_Result,Comments,Mag_UseResult,Mtest_UseResult,DataProofed
1,BS153,153,5/19/2011,6/10/2011,0.076,<32,Negative,0.036,<32,Negative,,1,1,0
2,BS156,156,5/19/2011,6/10/2011,0.019,<32,Negative,0.02,<32,Negative,,1,1,0
3,BS160,160,5/19/2011,6/2/2011,0.087,32,Suspect,0.058,<32,Negative,,1,1,0
4,BS17,17,5/20/2011,6/10/2011,0.025,<32,Negative,0.011,<32,Negative,,1,1,0
5,BS34,34,5/20/2011,6/10/2011,0.012,<32,Negative,0.028,<32,Negative,,1,1,0
6,BS157,157,5/20/2011,6/10/2011,0.072,<32,Negative,0.059,<32,Negative,,1,1,0
7,BS501,501,5/20/2011,6/8/2011,0.092,32,Suspect,0.034,<32,Negative,,1,1,0
8,BS502,502,5/20/2011,6/10/2011,0.043,<32,Negative,0.025,<32,Negative,,1,1,0
9,BS503,503,5/20/2011,6/10/2011,0.035,<32,Negative,0.014,<32,Negative,,1,1,0
11,BS508,508,5/20/2011,6/10/2011,0.039,<32,Negative,0.016,<32,Negative,,1,1,0
12,BS511,511,5/20/2011,6/10/2011,0.041,<32,Negative,0.026,<32,Negative,,1,1,0
13,BS513,513,5/20/2011,6/10/2011,0.081,<32,Negative,0.045,<32,Negative,,1,1,0
14,BS514,514,5/20/2011,6/10/2011,0.001,<32,Negative,0.005,<32,Negative,,1,1,0
15,BS515,515,5/20/2011,6/10/2011,0.03,<32,Negative,0.023,<32,Negative,,1,1,0
16,BS518,518,5/20/2011,6/10/2011,0.008,<32,Negative,0.031,<32,Negative,,1,1,0
17,BS519,519,5/20/2011,6/10/2011,0.06,<32,Negative,0.04,<32,Negative,,1,1,0
18,BS521,521,5/20/2011,6/10/2011,0.039,<32,Negative,0.022,<32,Negative,,1,1,0
19,BS522,522,5/20/2011,6/10/2011,0.025,<32,Negative,0.019,<32,Negative,,1,1,0
20,BS523,523,5/20/2011,6/10/2011,0.044,<32,Negative,0.025,<32,Negative,,1,1,0
21,BS524,524,5/20/2011,6/10/2011,0.028,<32,Negative,0.021,<32,Negative,,1,1,0
22,BS527,527,5/20/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
23,BS529,529,5/20/2011,6/10/2011,0.072,<32,Negative,0.038,<32,Negative,,1,1,0
24,BS531,531,5/20/2011,6/10/2011,0.055,<32,Negative,0.02,<32,Negative,,1,1,0
25,BS532,532,5/20/2011,6/10/2011,0.02,<32,Negative,0.017,<32,Negative,,1,1,0
26,BS535,535,5/20/2011,6/10/2011,0.014,<32,Negative,0.011,<32,Negative,,1,1,0
27,BS537,537,5/20/2011,6/10/2011,0.021,<32,Negative,0.014,<32,Negative,,1,1,0
28,BS538,538,5/20/2011,6/10/2011,0.08,<32,Negative,0.055,<32,Negative,,1,1,0
29,BS47,47,5/21/2011,6/10/2011,0.024,<32,Negative,0.015,<32,Negative,,1,1,0
30,BS55,55,5/21/2011,6/10/2011,0.107,32,Suspect,0.008,<32,Negative,,1,1,0
31,BS58,58,5/21/2011,6/10/2011,0.058,<32,Negative,0.019,<32,Negative,,1,1,0
32,BS61,61,5/21/2011,6/10/2011,0.052,<32,Negative,0.014,<32,Negative,,1,1,0
33,BS71,71,5/21/2011,6/10/2011,0.035,<32,Negative,0.028,<32,Negative,,1,1,0
34,BS77,77,5/21/2011,6/10/2011,0.047,<32,Negative,0.02,<32,Negative,,1,1,0
35,BS01,1,10/19/2010,,,<32,Negative,,<32,Negative,,1,1,0
36,BS12,12,10/19/2010,,,<32,Negative,,<32,Negative,,1,1,0
37,BS13,13,10/19/2010,,,<32,Negative,,<32,Negative,,1,1,0
38,BS14,14,10/19/2010,,,<32,Negative,,<32,Negative,,1,1,0
40,BS04,4,10/23/2010,,,<32,Negative,,<32,Negative,,1,1,0
41,BS22,22,10/23/2010,,,<32,Negative,,<32,Negative,,1,1,0
42,BS100,100,10/23/2010,,,<32,Negative,,<32,Negative,,1,1,0
43,BS17,17,10/24/2010,,,<32,Negative,,<32,Negative,,1,1,0
44,BS25,25,10/27/2010,,,<32,Negative,,<32,Negative,,1,1,0
45,BS102,102,10/27/2010,,,<32,Negative,,<32,Negative,,1,1,0
46,BS26,26,10/28/2010,,,<32,Negative,,<32,Negative,,1,1,0
47,BS27,27,10/28/2010,,,<32,Negative,,<32,Negative,,1,1,0
48,BS28,28,10/28/2010,,,<32,Negative,,<32,Negative,,1,1,0
49,BS29,29,10/28/2010,,,<32,Negative,,<32,Negative,,1,1,0
51,BS31,31,10/29/2010,,,32,Suspect,,64,Suspect,,1,1,0
52,BS32,32,10/29/2010,,,<32,Negative,,<32,Negative,,1,1,0
53,BS34,34,10/29/2010,,,<32,Negative,,<32,Negative,,1,1,0
54,BS35,35,10/29/2010,,,<32,Negative,,<32,Negative,,1,1,0
55,BS30,30,10/30/2010,,,<32,Negative,,<32,Negative,,1,1,0
56,BS33,33,10/30/2010,,,<32,Negative,,<32,Negative,,1,1,0
57,BS02,2,10/31/2010,,,32,Suspect,,32,Suspect,,1,1,0
58,BS09,9,10/31/2010,,,<32,Negative,,<32,Negative,,1,1,0
59,BS24,24,10/31/2010,,,<32,Negative,,32,Suspect,,1,1,0
60,BS37,37,10/31/2010,,,32,Suspect,,64,Suspect,,1,1,0
61,BS103,103,10/31/2010,,,<32,Negative,,<32,Negative,,1,1,0
62,BS21,21,11/1/2010,,,<32,Negative,,<32,Negative,,1,1,0
63,BS101,101,11/1/2010,,,<32,Negative,,<32,Negative,,1,1,0
64,BS36,36,11/2/2010,,,<32,Negative,,<32,Negative,,1,1,0
65,BS38,38,11/2/2010,,,<32,Negative,,64,Suspect,,1,1,0
66,BS41,41,11/2/2010,,,<32,Negative,,<32,Negative,,1,1,0
67,BS05,5,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
68,BS07,7,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
69,BS08,8,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
70,BS12,12,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
71,BS13,13,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
72,BS79,79,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
73,BS88,88,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
74,BS92,92,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
75,BS102,102,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
76,BS124,124,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
77,BS125,125,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
78,BS127,127,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
79,BS133,133,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
80,BS141,141,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
81,BS155,155,5/15/2011,6/10/2011,,<32,Negative,,<32,Negative,,1,1,0
82,BS06,6,5/16/2011,6/10/2011,0.022,<32,Negative,0.011,<32,Negative,,1,1,0
83,BS11,11,5/16/2011,6/10/2011,0.051,<32,Negative,0.11,<32,Negative,,1,1,0
84,BS16,16,5/16/2011,6/10/2011,0.053,<32,Negative,0.072,<32,Negative,,1,1,0
85,BS23,23,5/16/2011,6/10/2011,0.033,<32,Negative,0.02,<32,Negative,,1,1,0
86,BS25,25,5/16/2011,6/10/2011,0.038,<32,Negative,0.035,<32,Negative,,1,1,0
87,BS28,28,5/16/2011,6/10/2011,0.039,<32,Negative,0.023,<32,Negative,,1,1,0
88,BS29,29,5/16/2011,6/10/2011,0.014,<32,Negative,0.019,<32,Negative,,1,1,0
89,BS60,60,5/16/2011,6/10/2011,0.018,<32,Negative,0.015,<32,Negative,,1,1,0
90,BS65,65,5/16/2011,6/10/2011,0.084,32,Suspect,0.042,<32,Negative,,1,1,0
91,BS75,75,5/16/2011,6/10/2011,0.038,<32,Negative,0.031,<32,Negative,,1,1,0
92,BS76,76,5/16/2011,6/10/2011,0.032,<32,Negative,0.019,<32,Negative,,1,1,0
93,BS78,78,5/16/2011,6/10/2011,0.066,<32,Negative,0.029,<32,Negative,,1,1,0
94,BS100,100,5/16/2011,6/10/2011,0.055,<32,Negative,0.031,<32,Negative,,1,1,0
95,BS101,101,5/16/2011,6/10/2011,0.013,<32,Negative,0.008,<32,Negative,,1,1,0
96,BS121,121,5/16/2011,6/10/2011,0.001,<32,Negative,0.004,<32,Negative,,1,1,0
97,BS126,126,5/16/2011,6/10/2011,0.019,<32,Negative,0.016,<32,Negative,,1,1,0
98,BS132,132,5/16/2011,6/10/2011,0.063,<32,Negative,0.035,<32,Negative,,1,1,0
99,BS138,138,5/16/2011,6/10/2011,0.05,<32,Negative,0.03,<32,Negative,,1,1,0
100,BS139,139,5/16/2011,6/10/2011,0.069,<32,Negative,0.04,<32,Negative,,1,1,0
101,BS146,146,5/16/2011,6/10/2011,0.072,<32,Negative,0.014,<32,Negative,,1,1,0
102,BS148,148,5/16/2011,6/10/2011,0.032,<32,Negative,0.013,<32,Negative,,1,1,0
103,BS02,2,5/17/2011,6/2/2011,0.177,64,Positive,0.056,<32,Negative,,1,1,0
104,BS09,9,5/17/2011,6/2/2011,0.042,<32,Negative,0.033,<32,Negative,,1,1,0
105,BS22,22,5/17/2011,6/2/2011,0.041,<32,Negative,0.025,<32,Negative,,1,1,0
106,BS27,27,5/17/2011,6/2/2011,0.047,<32,Negative,0.054,<32,Negative,,1,1,0
107,BS32,32,5/17/2011,6/2/2011,0.03,<32,Negative,0.035,<32,Negative,,1,1,0
108,BS37,37,5/17/2011,6/2/2011,0.08,<32,Negative,0.059,<32,Negative,,1,1,0
109,BS44,44,5/17/2011,6/2/2011,0.046,<32,Negative,0.026,<32,Negative,,1,1,0
110,BS52,52,5/17/2011,6/2/2011,0.073,<32,Negative,0.061,<32,Negative,,1,1,0
111,BS66,66,5/17/2011,6/2/2011,0.046,<32,Negative,0.093,<32,Negative,,1,1,0
112,BS103,103,5/17/2011,6/2/2011,0.017,<32,Negative,0.03,<32,Negative,,1,1,0
113,BS120,120,5/17/2011,6/2/2011,0.062,<32,Negative,0.043,<32,Negative,,1,1,0
114,BS122,122,5/17/2011,6/2/2011,0.03,<32,Negative,0.05,<32,Negative,,1,1,0
115,BS131,131,5/17/2011,6/2/2011,0.03,<32,Negative,0.028,<32,Negative,,1,1,0
116,BS134,134,5/17/2011,6/2/2011,0,<32,Negative,0.01,<32,Negative,,1,1,0
117,BS135,135,5/17/2011,6/2/2011,0.005,<32,Negative,0.008,<32,Negative,,1,1,0
118,BS140,140,5/17/2011,6/2/2011,0.025,<32,Negative,0.027,<32,Negative,,1,1,0
119,BS142,142,5/17/2011,6/2/2011,0.075,<32,Negative,0.054,<32,Negative,,1,1,0
120,BS143,143,5/17/2011,6/2/2011,0.071,<32,Negative,0.046,<32,Negative,,1,1,0
121,BS145,145,5/17/2011,6/2/2011,0.054,<32,Negative,0.041,<32,Negative,,1,1,0
122,BS147,147,5/17/2011,6/2/2011,0.047,<32,Negative,0.028,<32,Negative,,1,1,0
123,BS154,154,5/17/2011,6/2/2011,0.03,<32,Negative,0.059,<32,Negative,,1,1,0
124,BS158,158,5/17/2011,6/2/2011,0.011,<32,Negative,0.015,<32,Negative,,1,1,0
125,BS164,164,5/17/2011,6/2/2011,0.065,<32,Negative,0.058,<32,Negative,,1,1,0
127,BS19,19,5/19/2011,6/10/2011,0.082,<32,Negative,0.047,<32,Negative,,1,1,0
128,BS31,31,5/19/2011,6/10/2011,0.012,<32,Negative,0.026,<32,Negative,,1,1,0
129,BS35,35,5/19/2011,6/10/2011,0.022,<32,Negative,0.013,<32,Negative,,1,1,0
130,BS36,36,5/19/2011,6/2/2011,0.009,<32,Negative,0.015,<32,Negative,,1,1,0
131,BS45,45,5/19/2011,6/10/2011,0.008,<32,Negative,0.04,<32,Negative,,1,1,0
132,BS46,46,5/19/2011,6/10/2011,0.043,<32,Negative,0.042,<32,Negative,,1,1,0
133,BS50,50,5/19/2011,6/10/2011,0.009,<32,Negative,0.005,<32,Negative,,1,1,0
134,BS51,51,5/19/2011,6/2/2011,0.037,<32,Negative,0.028,<32,Negative,,1,1,0
135,BS57,57,5/19/2011,6/10/2011,0.021,<32,Negative,0.013,<32,Negative,,1,1,0
136,BS64,64,5/19/2011,6/8/2011,0.12,<32,Suspect,0.113,<32,Negative,"UFL confirmed that M.agas exact titer was 31, which was deemed to be close enough to the 32 threshold to mark as Suspect",1,1,0
137,BS69,69,5/19/2011,6/2/2011,0.065,<32,Negative,0.042,<32,Negative,,1,1,0
138,BS74,74,5/19/2011,6/10/2011,0.012,<32,Negative,0.016,<32,Negative,,1,1,0
139,BS81,81,5/19/2011,6/10/2011,0.031,<32,Negative,0.014,<32,Negative,,1,1,0
142,BS110,110,5/19/2011,6/10/2011,0.033,<32,Negative,0.013,<32,Negative,,1,1,0
143,BS128,128,5/19/2011,6/10/2011,0.002,<32,Negative,0.007,<32,Negative,,1,1,0
144,BS130,130,5/19/2011,6/10/2011,0.023,<32,Negative,0.013,<32,Negative,,1,1,0
145,BS149,149,5/19/2011,6/10/2011,0.045,<32,Negative,0.015,<32,Negative,,1,1,0
146,BS80,80,5/21/2011,6/10/2011,0.054,<32,Negative,0.04,<32,Negative,,1,1,0
148,BS89,89,5/21/2011,6/10/2011,0.11,32,Suspect,0.017,<32,Negative,,1,1,0
149,BS90,90,5/21/2011,6/10/2011,0.041,<32,Negative,0.017,<32,Negative,,1,1,0
150,BS94,94,5/21/2011,6/10/2011,0.083,<32,Negative,0.335,64,Suspect,,1,1,0
151,BS95,95,5/21/2011,6/10/2011,0.129,32,Suspect,0.009,<32,Negative,,1,1,0
152,BS117,117,5/21/2011,6/10/2011,0.023,<32,Negative,0.02,<32,Negative,,1,1,0
153,BS136,136,5/21/2011,6/10/2011,0.062,<32,Negative,0.02,<32,Negative,,1,1,0
154,BS159,159,5/21/2011,6/10/2011,0.067,<32,Negative,0.042,<32,Negative,,1,1,0
155,BS165,165,5/21/2011,6/10/2011,0.033,<32,Negative,0.044,<32,Negative,,1,1,0
156,BS166,166,5/21/2011,6/10/2011,0.033,<32,Negative,0.047,<32,Negative,,1,1,0
157,BS169,169,5/21/2011,6/10/2011,0.109,32,Suspect,0.03,<32,Negative,,1,1,0
158,BS15,15,5/22/2011,6/10/2011,0.124,32,Suspect,0.035,<32,Negative,,1,1,0
159,BS30,30,5/22/2011,6/10/2011,0.022,<32,Negative,0.017,<32,Negative,,1,1,0
160,BS33,33,5/22/2011,6/10/2011,0.032,<32,Negative,0.014,<32,Negative,,1,1,0
162,BS49,49,5/22/2011,6/10/2011,0.036,<32,Negative,0.008,<32,Negative,,1,1,0
163,BS62,62,5/22/2011,6/10/2011,0.091,32,Suspect,0.044,<32,Negative,,1,1,0
165,BS70,70,5/22/2011,6/10/2011,0.192,<32,Negative,0.335,32,Suspect,,1,1,0
166,BS84,84,5/22/2011,6/10/2011,0.032,<32,Negative,0.019,<32,Negative,,1,1,0
167,BS86,86,5/22/2011,6/10/2011,0.056,<32,Negative,0.028,<32,Negative,,1,1,0
168,BS96,96,5/22/2011,6/10/2011,0.044,<32,Negative,0.02,<32,Negative,,1,1,0
169,BS97,97,5/22/2011,6/10/2011,0.053,<32,Negative,0.047,<32,Negative,,1,1,0
170,BS99,99,5/22/2011,6/10/2011,0.059,32,Suspect,0.016,<32,Negative,,1,1,0
171,BS105,105,5/22/2011,6/10/2011,0.103,32,Suspect,0.019,<32,Negative,,1,1,0
172,BS107,107,5/22/2011,6/10/2011,0.051,<32,Negative,0.04,<32,Negative,,1,1,0
173,BS108,108,5/22/2011,6/10/2011,0.026,<32,Negative,0.015,<32,Negative,,1,1,0
174,BS109,109,5/22/2011,6/10/2011,0.012,<32,Negative,0.008,<32,Negative,,1,1,0
175,BS129,129,5/22/2011,6/10/2011,0.034,<32,Negative,0.017,<32,Negative,,1,1,0
176,BS137,137,5/22/2011,6/10/2011,0.026,<32,Negative,0.04,<32,Negative,,1,1,0
177,BS151,151,5/22/2011,6/10/2011,0.035,<32,Negative,0.02,<32,Negative,,1,1,0
178,BS161,161,5/22/2011,6/10/2011,0.054,<32,Negative,0.025,<32,Negative,,1,1,0
179,BS162,162,5/22/2011,6/10/2011,0.07,<32,Negative,0.02,<32,Negative,,1,1,0
180,BS171,171,5/22/2011,6/10/2011,0.082,<32,Negative,0.031,<32,Negative,,1,1,0
181,BS177,177,5/22/2011,6/10/2011,0.012,<32,Negative,0.009,<32,Negative,,1,1,0
182,BS10,10,5/23/2011,6/10/2011,0.023,<32,Negative,0.014,<32,Negative,,1,1,0
183,BS116,116,5/23/2011,6/10/2011,0.015,<32,Negative,0.015,<32,Negative,,1,1,0
184,BS167,167,5/23/2011,6/10/2011,0.019,<32,Negative,0.04,<32,Negative,,1,1,0
185,BS500,500,5/23/2011,6/10/2011,0.024,<32,Negative,0.072,<32,Negative,,1,1,0
186,BS504,504,5/23/2011,6/10/2011,0.042,<32,Negative,0.035,<32,Negative,,1,1,0
187,BS505,505,5/23/2011,6/10/2011,0.035,<32,Negative,0.019,<32,Negative,,1,1,0
188,BS509,509,5/23/2011,6/10/2011,0.086,<32,Negative,0.011,<32,Negative,,1,1,0
189,BS510,510,5/23/2011,6/10/2011,0.042,<32,Negative,0.029,<32,Negative,,1,1,0
190,BS520,520,5/23/2011,6/10/2011,0.021,<32,Negative,0.031,<32,Negative,,1,1,0
191,BS530,530,5/23/2011,6/10/2011,0.01,<32,Negative,0.023,<32,Negative,,1,1,0
192,BS532,532,5/23/2011,6/10/2011,0.022,<32,Negative,0.004,<32,Negative,,1,1,0
193,BS536,536,5/23/2011,6/10/2011,0.052,<32,Negative,0.013,<32,Negative,,1,1,0
194,BS06,6,5/31/2011,8/9/2011,0.016,<32,Negative,0.024,<32,Negative,,1,1,0
195,BS24,24,5/31/2011,8/9/2011,0.041,<32,Negative,0.025,<32,Negative,,1,1,0
196,BS68,68,5/31/2011,8/9/2011,0.001,<32,Negative,0.008,<32,Negative,,1,1,0
197,BS70,70,5/31/2011,8/9/2011,0.056,<32,Negative,0.195,32,Suspect,,1,1,0
198,BS85,85,5/31/2011,8/9/2011,0.019,<32,Negative,0.024,<32,Negative,,1,1,0
199,BS126,126,5/31/2011,8/9/2011,0.013,<32,Negative,0.015,<32,Negative,,1,1,0
200,BS134,134,5/31/2011,8/9/2011,0.021,<32,Negative,0.016,<32,Negative,,1,1,0
201,BS144,144,5/31/2011,8/9/2011,0.075,<32,Negative,0.055,<32,Negative,,1,1,0
202,BS160,160,5/31/2011,8/9/2011,0.041,<32,Negative,0.027,<32,Negative,,1,1,0
203,BS165,165,5/31/2011,8/9/2011,0.007,<32,Negative,0.01,<32,Negative,,1,1,0
204,BS172,172,5/31/2011,8/9/2011,0.03,<32,Negative,0.031,<32,Negative,,1,1,0
205,BS506,506,5/31/2011,8/9/2011,0.011,<32,Negative,0.023,<32,Negative,,1,1,0
206,BS512,512,5/31/2011,8/9/2011,0.026,<32,Negative,0.02,<32,Negative,,1,1,0
207,BS533,533,5/31/2011,8/9/2011,0.015,<32,Negative,0.013,<32,Negative,,1,1,0
208,BS01,1,6/1/2011,8/9/2011,0.018,<32,Negative,0.018,<32,Negative,,1,1,0
210,BS14,14,6/1/2011,8/9/2011,0.015,<32,Negative,0.006,<32,Negative,,1,1,0
211,BS21,21,6/1/2011,8/9/2011,0.023,<32,Negative,0.019,<32,Negative,,1,1,0
212,BS25,25,6/1/2011,8/9/2011,0.028,<32,Negative,0.041,<32,Negative,,1,1,0
213,BS29,29,6/1/2011,8/9/2011,0.013,<32,Negative,0.007,<32,Negative,,1,1,0
214,BS56,56,6/1/2011,8/9/2011,0.01,<32,Negative,0.011,<32,Negative,,1,1,0
215,BS78,78,6/1/2011,8/9/2011,0.076,<32,Negative,0.017,<32,Negative,,1,1,0
216,BS88,88,6/1/2011,8/9/2011,0.004,<32,Negative,0.018,<32,Negative,,1,1,0
217,BS93,93,6/1/2011,8/9/2011,0.022,<32,Negative,0.032,<32,Negative,,1,1,0
218,BS114,114,6/1/2011,8/9/2011,0.038,<32,Negative,0.035,<32,Negative,,1,1,0
219,BS121,121,6/1/2011,8/9/2011,0.018,<32,Negative,0.004,<32,Negative,,1,1,0
220,BS163,163,6/1/2011,8/9/2011,0.03,<32,Negative,0.035,<32,Negative,,1,1,0
221,BS170,170,6/1/2011,8/9/2011,0.012,<32,Negative,0.014,<32,Negative,,1,1,0
222,BS41,41,6/2/2011,8/9/2011,0.076,<32,Negative,0.083,<32,Negative,,1,1,0
223,BS155,155,6/2/2011,8/9/2011,0.012,<32,Negative,0.009,<32,Negative,,1,1,0
224,BS534,534,6/2/2011,8/9/2011,0.016,<32,Negative,0.015,<32,Negative,,1,1,0
225,BS19,19,6/9/2011,8/9/2011,0.048,<32,Negative,0.052,<32,Negative,,1,1,0
226,BS26,26,6/9/2011,8/9/2011,0.049,<32,Negative,0.059,<32,Negative,,1,1,0
227,BS38,38,6/9/2011,8/9/2011,0.021,<32,Negative,0.023,<32,Negative,,1,1,0
228,BS176,176,6/9/2011,8/9/2011,0.033,<32,Negative,0.032,<32,Negative,,1,1,0
229,BS50,506,6/9/2011,8/9/2011,0.013,<32,Negative,0.017,<32,Negative,,1,1,0
230,BS517,517,6/9/2011,8/9/2011,0.026,<32,Negative,0.018,<32,Negative,,1,1,0
231,BS91,91,6/10/2011,8/9/2011,0.044,<32,Negative,0.035,<32,Negative,,1,1,0
232,BS179,179,6/11/2011,8/9/2011,0.002,<32,Negative,0.001,<32,Negative,,1,1,0
233,BS173,173,6/19/2011,8/9/2011,0.02,<32,Negative,0.021,<32,Negative,,1,1,0
234,BS57,57,7/9/2011,8/9/2011,0.028,<32,Negative,0.025,<32,Negative,,1,1,0
235,BS180,180,7/13/2011,8/9/2011,0.018,<32,Negative,0.019,<32,Negative,,1,1,0
236,BS183,183,8/1/2011,8/9/2011,0.027,<32,Negative,0.025,<32,Negative,,1,1,0
237,BS184,184,8/5/2011,,0.01,<32,Negative,0.033,<32,Negative,,1,1,0
238,BS186,186,8/9/2011,,0.009,<32,Negative,0.036,<32,Negative,,1,1,0
239,BS189,189,8/23/2011,,0.004,<32,Negative,0.02,<32,Negative,,1,1,0
242,BS223,223,9/27/2011,,0.101,32,Suspect,0.073,<32,Negative,,1,1,0
243,BS122,122,9/28/2011,,0.034,<32,Negative,0.069,<32,Negative,,1,1,0
244,BS305,305,10/3/2011,,0.011,<32,Negative,0.055,<32,Negative,,1,1,0
245,BS71,71,10/4/2011,,0.022,<32,Negative,0.023,<32,Negative,,1,1,0
246,BS90,90,10/4/2011,,0.012,<32,Negative,0.123,32,Suspect,,1,1,0
247,BS97,97,10/4/2011,,0.017,<32,Negative,0.047,<32,Negative,,1,1,0
248,BS275,275,10/4/2011,,0.03,<32,Negative,0.029,<32,Negative,,1,1,0
249,BS310,310,10/4/2011,,0.021,<32,Negative,0.047,<32,Negative,,1,1,0
250,BS76,76,10/5/2011,,0.011,<32,Negative,0.013,<32,Negative,,1,1,0
251,BS120,120,10/5/2011,,0.032,<32,Negative,0.061,<32,Negative,,1,1,0
252,BS184,184,10/5/2011,,0.008,<32,Negative,0.05,<32,Negative,,1,1,0
255,BS02,2,10/8/2011,,0.059,<32,Negative,0.071,<32,Negative,,1,1,0
256,BS06,6,10/8/2011,,0.011,<32,Negative,0.023,<32,Negative,,1,1,0
257,BS09,9,10/8/2011,,0.028,<32,Negative,0.033,<32,Negative,,1,1,0
258,BS11,11,10/8/2011,,0.03,<32,Negative,0.08,<32,Negative,,1,1,0
259,BS12,12,10/8/2011,,0.019,<32,Negative,0.018,<32,Negative,,1,1,0
260,BS19,19,10/8/2011,,0.042,<32,Negative,0.032,<32,Negative,,1,1,0
261,BS25,25,10/8/2011,,0.017,<32,Negative,0.009,<32,Negative,,1,1,0
262,BS37,37,10/8/2011,,0.046,<32,Negative,0.053,<32,Negative,,1,1,0
263,BS46,46,10/8/2011,,0.028,<32,Negative,0.02,<32,Negative,,1,1,0
264,BS79,79,10/8/2011,,0.02,<32,Negative,0.011,<32,Negative,,1,1,0
265,BS81,81,10/8/2011,,0.024,<32,Negative,0,<32,Negative,,1,1,0
266,BS103,103,10/8/2011,,0.008,<32,Negative,0.08,<32,Negative,,1,1,0
267,BS111,111,10/8/2011,,0.015,<32,Negative,0.048,<32,Negative,,1,1,0
268,BS114,114,10/8/2011,,0.031,<32,Negative,0.072,<32,Negative,,1,1,0
269,BS125,125,10/8/2011,,0.032,<32,Negative,0.051,<32,Negative,,1,1,0
270,BS137,137,10/8/2011,,0.013,<32,Negative,0.038,<32,Negative,,1,1,0
271,BS154,154,10/8/2011,,0.006,<32,Negative,0.028,<32,Negative,,1,1,0
272,BS156,156,10/8/2011,,0.009,<32,Negative,0.017,<32,Negative,,1,1,0
273,BS04,4,10/9/2011,,0.006,<32,Negative,0.026,<32,Negative,,1,1,0
274,BS08,8,10/9/2011,,0.027,<32,Negative,0.017,<32,Negative,,1,1,0
275,BS15,15,10/9/2011,,0.028,<32,Negative,0.011,<32,Negative,,1,1,0
276,BS16,16,10/9/2011,,0.04,<32,Negative,0.072,<32,Negative,,1,1,0
277,BS21,21,10/9/2011,,0.027,<32,Negative,0.002,<32,Negative,,1,1,0
278,BS32,32,10/9/2011,,0.029,<32,Negative,0.028,<32,Negative,,1,1,0
279,BS34,34,10/9/2011,,0.008,<32,Negative,0.019,<32,Negative,,1,1,0
280,BS56,56,10/9/2011,,0.006,<32,Negative,0.035,<32,Negative,,1,1,0
281,BS60,60,10/9/2011,,0.008,<32,Negative,0.02,<32,Negative,,1,1,0
282,BS66,66,10/9/2011,,0.018,<32,Negative,0.013,<32,Negative,,1,1,0
284,BS74,74,10/9/2011,,0.018,<32,Negative,0.039,<32,Negative,,1,1,0
285,BS85,85,10/9/2011,,0.016,<32,Negative,0.005,<32,Negative,,1,1,0
286,BS94,94,10/9/2011,,,<32,Negative,,,,Not enough sample to run M.test analysis,1,0,0
287,BS100,100,10/9/2011,,0.033,<32,Negative,0.056,<32,Negative,,1,1,0
288,BS113,113,10/9/2011,,0.008,<32,Negative,0.028,<32,Negative,,1,1,0
289,BS128,128,10/9/2011,,0.02,<32,Negative,0.043,<32,Negative,,1,1,0
290,BS129,129,10/9/2011,,0.013,<32,Negative,0.044,<32,Negative,,1,1,0
291,BS130,130,10/9/2011,,0.017,<32,Negative,0.04,<32,Negative,,1,1,0
292,BS145,145,10/9/2011,,0.008,<32,Negative,0.065,<32,Negative,,1,1,0
293,BS150,150,10/9/2011,,0.005,<32,Negative,0.031,<32,Negative,,1,1,0
294,BS177,177,10/9/2011,,0.007,<32,Negative,0.013,<32,Negative,,1,1,0
295,BS05,5,10/10/2011,,0.016,<32,Negative,0.024,<32,Negative,,1,1,0
296,BS13,13,10/10/2011,,0.002,<32,Negative,0.029,<32,Negative,,1,1,0
297,BS14,14,10/10/2011,,0.016,<32,Negative,0.026,<32,Negative,,1,1,0
298,BS26,26,10/10/2011,,0.043,<32,Negative,0.022,<32,Negative,,1,1,0
299,BS27,27,10/10/2011,,0.022,<32,Negative,0.063,<32,Negative,,1,1,0
300,BS28,28,10/10/2011,,0.015,<32,Negative,0.023,<32,Negative,,1,1,0
301,BS35,35,10/10/2011,,0.014,<32,Negative,0.004,<32,Negative,,1,1,0
302,BS41,41,10/10/2011,,0.043,<32,Negative,0.024,<32,Negative,,1,1,0
